,VOI.t0,VOI.t1,VOI.t2,VOI.t3,VOI.t4,VOI.t5,OIR.t0,OIR.t1,OIR.t2,OIR.t3,OIR.t4,OIR.t5,MPB.t0,MPB.t1,MPB.t2,MPB.t3,MPB.t4,MPB.t5
rbj5_2025-01-02,-2.1773601070674746e-05,1.5629325230714263e-06,5.476786552890438e-06,1.5717055624162383e-05,3.713782758772962e-05,9.336365893222423e-06,0.00014671771329731958,-5.478901933896867e-05,4.766026361721791e-05,-2.631839614345586e-05,-3.1170533951800914e-05,0.0001077079082714385,0.7900141775054341,-0.5982190263413337,-0.20584324284122868,0.34399777866007186,-0.2637920754669661,-0.05467645671207184
rbj5_2025-01-03,-8.17978902234871e-07,-3.2289121943023945e-05,-1.685582297700042e-05,-6.520095136053152e-06,-1.2245480273365774e-05,-2.2521829203076943e-05,0.00011480017709681476,0.00013012996887713812,2.540376748750045e-05,6.106451686545396e-05,6.034540661784377e-05,0.000103175016068025,0.2438686570123379,-0.23468228045841036,0.1799908689095049,-0.17624915326523824,0.22116227128837523,-0.2082283191639938
rbj5_2025-01-05,-6.32185447952075e-05,-8.26817092375602e-06,-8.902381588456975e-05,0.00013081369521852882,7.773459436720347e-05,3.7645275904071985e-05,0.0005494505439090196,-0.0003678138972090879,7.148619376314499e-05,-0.000746076945602983,-5.260436194134203e-05,0.0005309085886587315,0.6516188866980439,-0.31967092269977637,0.3425977392588988,-0.3661391667596916,-0.032267627897291574,-0.018254596870564525
rbj5_2025-01-06,-1.6017740228492186e-05,-2.136243449123607e-05,-2.0736852164908855e-05,-2.221004542146389e-05,-1.1358864419668456e-05,-2.7922194956769142e-06,0.0001341941911904038,-8.667297995647506e-05,-4.361425294994583e-05,-2.0442224830799775e-05,-3.730819950177006e-05,-8.262506499506818e-05,-0.03742199356341463,0.053360059123164945,-0.05506969585272379,0.06006863823061061,-0.03425757423401766,0.017019990572125363
rbj5_2025-01-07,7.352491165476985e-06,1.291663751779024e-05,2.2782724683481304e-05,1.6331851026220374e-05,2.094146288409866e-05,1.5067409989858878e-05,9.276983366935609e-05,-1.159991643568395e-06,-4.8825678558874706e-05,1.3949770924478726e-05,-4.752076963610261e-05,-4.84690200750255e-05,0.27447001186730097,-0.2872808225877141,0.23551327935608526,-0.22610001000905375,0.06298175624548626,-0.025538586223474144
rbj5_2025-01-08,6.086025058129781e-06,2.92574799525569e-06,1.527506209848606e-05,2.1214713113028762e-05,8.248792929378642e-06,1.308879940571262e-05,5.99293996167615e-05,-6.22820657989211e-05,-0.00010780258102743617,-5.1594526086915934e-05,2.9484883794061638e-05,-3.155971345141301e-05,0.09361504865788438,-0.1291291956854954,0.07174179372095506,-0.05757334964462476,-0.019507264369588495,0.049952244517434026
rbj5_2025-01-09,2.4275270415172273e-06,6.808116003439276e-06,6.499083784952522e-06,5.8505698531616556e-06,3.700535335431588e-06,4.434130143635783e-06,4.2958697424155256e-05,-7.946483160304479e-05,-7.662375747352148e-05,-2.6075272988075046e-06,-2.101885509404018e-05,-4.173696687219826e-05,0.1263043901028243,-0.09590982042582419,0.065478484820915,-0.04191245489991078,0.04797919364676357,-0.09321784525553335
rbj5_2025-01-10,-1.4542657320817988e-06,-7.611745036822457e-06,-8.333127899032878e-06,-3.933631115715138e-06,-7.881473906888717e-06,-1.2415911801376937e-05,0.00014058799476099226,-3.397950914912832e-05,-5.308325354804919e-05,-2.13693122284573e-06,1.7250180492731674e-05,2.1875216873218673e-05,0.11229046490805264,-0.18027512494929934,0.17304382493968676,-0.17451389100108294,0.15171562555730903,-0.0710128783236039
rbj5_2025-01-12,-0.0005366060655949541,-0.00033689579257782524,-0.0009575577823067042,-0.00048772344252003225,-0.0005247697001108334,-0.000402939278721802,0.0015488182556877333,-0.0005424272480525515,0.0017529445225507893,-0.0006433813972054021,0.0007291773034259813,-0.0003804060885957024,0.5754141847083563,-0.4521576378723916,0.29028701521492783,-0.04982311610895069,0.19156791809109705,-0.26148168641994873
rbj5_2025-01-13,1.329349029423012e-05,-7.122802877057071e-06,3.78028581888595e-06,-2.8029589926422362e-08,6.763330036926239e-06,-2.1270212115371473e-06,6.345579607028964e-05,1.3362541183326739e-05,6.412586552878405e-06,1.088659367890854e-05,-1.768087841872813e-05,3.5789550457901325e-06,0.17862217191381177,-0.17162013619625566,0.1349190407520639,-0.13858448333511578,0.1338125695487626,-0.1150798885085589
